,t,name,var,value
0,34437.0,TRIAL_AVAILABLE_EVENT,,
1,34438.0,,correct_side,right
2,34438.0,,this_interval,1740.0
3,34438.0,,init_port,S
4,34438.0,,stim_long,True
5,35849.0,STIM_ONSET_EVENT,,
6,35849.0,TRIAL_ENTRY_EVENT,,
7,37591.0,CHOICE_STATE,,
8,37591.0,STIM_OFFSET_EVENT,,
9,38535.0,CHOICE_EVENT,,
10,38535.0,CHOICE_LONG_EVENT,,
11,38535.0,CHOICE_RIGHT_EVENT,,
12,38535.0,CHOICE_CORRECT_EVENT,,
13,39335.0,REWARD_EVENT,,
14,44954.0,TRIAL_AVAILABLE_EVENT,,
15,44955.0,,init_port,S
16,44955.0,,this_interval,1260.0
17,44955.0,,correct_side,left
18,44955.0,,stim_long,False
19,51736.0,TRIAL_ENTRY_EVENT,,
20,51737.0,STIM_ONSET_EVENT,,
21,52998.0,STIM_OFFSET_EVENT,,
22,52998.0,CHOICE_STATE,,
23,53749.0,CHOICE_SHORT_EVENT,,
24,53749.0,CHOICE_EVENT,,
25,53749.0,CHOICE_LEFT_EVENT,,
26,53749.0,CHOICE_CORRECT_EVENT,,
27,54550.0,REWARD_EVENT,,
28,60843.0,TRIAL_AVAILABLE_EVENT,,
29,60844.0,,init_port,S
30,60844.0,,stim_long,False
31,60844.0,,correct_side,left
32,60844.0,,this_interval,1380.0
33,64769.0,STIM_ONSET_EVENT,,
34,64769.0,TRIAL_ENTRY_EVENT,,
35,66150.0,CHOICE_STATE,,
36,66150.0,STIM_OFFSET_EVENT,,
37,66812.0,CHOICE_INCORRECT_EVENT,,
38,66812.0,CHOICE_LONG_EVENT,,
39,66812.0,CHOICE_EVENT,,
40,66812.0,CHOICE_RIGHT_EVENT,,
41,83873.0,TRIAL_AVAILABLE_EVENT,,
42,83874.0,,init_port,S
43,83874.0,,correct_side,left
44,83874.0,,stim_long,False
45,83874.0,,this_interval,1260.0
46,85100.0,TRIAL_ENTRY_EVENT,,
47,85101.0,STIM_ONSET_EVENT,,
